# file...... market_1.csv
# date...... Mon Aug 29 10:49:39 2016
# user...... sanjaya
# host...... (null)
# target.... auction 0
# trigger... (none)
# interval.. 60
# limit..... -2147483648
# timestamp,current_market.clearing_price,current_market.clearing_quantity,current_market.seller_total_quantity,current_market.buyer_total_quantity,current_market.clearing_type
2000-08-09 00:00:00 PDT,+0.14,+0,+0,+0,NULL
2000-08-09 00:01:00 PDT,+0.14,+0,+0,+0,NULL
2000-08-09 00:02:00 PDT,+0.14,+0,+0,+0,NULL
2000-08-09 00:03:00 PDT,+0.14,+0,+0,+0,NULL
2000-08-09 00:04:00 PDT,+0.14,+0,+0,+0,NULL
2000-08-09 00:05:00 PDT,+0.14,+0,+0,+0,NULL
2000-08-09 00:06:00 PDT,+0.14,+0,+0,+0,NULL
2000-08-09 00:07:00 PDT,+0.14,+0,+0,+0,NULL
2000-08-09 00:08:00 PDT,+0.14,+0,+0,+0,NULL
2000-08-09 00:09:00 PDT,+0.14,+0,+0,+0,NULL
2000-08-09 00:10:00 PDT,+0.14,+0,+0,+0,NULL
2000-08-09 00:11:00 PDT,+0.14,+0,+0,+0,NULL
2000-08-09 00:12:00 PDT,+0.14,+0,+0,+0,NULL
2000-08-09 00:13:00 PDT,+0.14,+0,+0,+0,NULL
2000-08-09 00:14:00 PDT,+0.14,+0,+0,+0,NULL
2000-08-09 00:15:00 PDT,+0.2999,+0,+2400,+0,NULL
2000-08-09 00:16:00 PDT,+0.2999,+0,+2400,+0,NULL
2000-08-09 00:17:00 PDT,+0.2999,+0,+2400,+0,NULL
2000-08-09 00:18:00 PDT,+0.2999,+0,+2400,+0,NULL
2000-08-09 00:19:00 PDT,+0.2999,+0,+2400,+0,NULL
2000-08-09 00:20:00 PDT,+0.2999,+0,+2400,+0,NULL
2000-08-09 00:21:00 PDT,+0.2999,+0,+2400,+0,NULL
2000-08-09 00:22:00 PDT,+0.2999,+0,+2400,+0,NULL
2000-08-09 00:23:00 PDT,+0.2999,+0,+2400,+0,NULL
2000-08-09 00:24:00 PDT,+0.2999,+0,+2400,+0,NULL
2000-08-09 00:25:00 PDT,+0.2999,+0,+2400,+0,NULL
2000-08-09 00:26:00 PDT,+0.2999,+0,+2400,+0,NULL
2000-08-09 00:27:00 PDT,+0.2999,+0,+2400,+0,NULL
2000-08-09 00:28:00 PDT,+0.2999,+0,+2400,+0,NULL
2000-08-09 00:29:00 PDT,+0.2999,+0,+2400,+0,NULL
2000-08-09 00:30:00 PDT,+0.1399,+0,+7329.99,+0,NULL
2000-08-09 00:31:00 PDT,+0.1399,+0,+7329.99,+0,NULL
2000-08-09 00:32:00 PDT,+0.1399,+0,+7329.99,+0,NULL
2000-08-09 00:33:00 PDT,+0.1399,+0,+7329.99,+0,NULL
2000-08-09 00:34:00 PDT,+0.1399,+0,+7329.99,+0,NULL
2000-08-09 00:35:00 PDT,+0.1399,+0,+7329.99,+0,NULL
2000-08-09 00:36:00 PDT,+0.1399,+0,+7329.99,+0,NULL
2000-08-09 00:37:00 PDT,+0.1399,+0,+7329.99,+0,NULL
2000-08-09 00:38:00 PDT,+0.1399,+0,+7329.99,+0,NULL
2000-08-09 00:39:00 PDT,+0.1399,+0,+7329.99,+0,NULL
2000-08-09 00:40:00 PDT,+0.1399,+0,+7329.99,+0,NULL
2000-08-09 00:41:00 PDT,+0.1399,+0,+7329.99,+0,NULL
2000-08-09 00:42:00 PDT,+0.1399,+0,+7329.99,+0,NULL
2000-08-09 00:43:00 PDT,+0.1399,+0,+7329.99,+0,NULL
2000-08-09 00:44:00 PDT,+0.1399,+0,+7329.99,+0,NULL
2000-08-09 00:45:00 PDT,+0.1399,+0,+7332.34,+0,NULL
2000-08-09 00:46:00 PDT,+0.1399,+0,+7332.34,+0,NULL
2000-08-09 00:47:00 PDT,+0.1399,+0,+7332.34,+0,NULL
2000-08-09 00:48:00 PDT,+0.1399,+0,+7332.34,+0,NULL
2000-08-09 00:49:00 PDT,+0.1399,+0,+7332.34,+0,NULL
2000-08-09 00:50:00 PDT,+0.1399,+0,+7332.34,+0,NULL
2000-08-09 00:51:00 PDT,+0.1399,+0,+7332.34,+0,NULL
2000-08-09 00:52:00 PDT,+0.1399,+0,+7332.34,+0,NULL
2000-08-09 00:53:00 PDT,+0.1399,+0,+7332.34,+0,NULL
2000-08-09 00:54:00 PDT,+0.1399,+0,+7332.34,+0,NULL
2000-08-09 00:55:00 PDT,+0.1399,+0,+7332.34,+0,NULL
2000-08-09 00:56:00 PDT,+0.1399,+0,+7332.34,+0,NULL
2000-08-09 00:57:00 PDT,+0.1399,+0,+7332.34,+0,NULL
2000-08-09 00:58:00 PDT,+0.1399,+0,+7332.34,+0,NULL
2000-08-09 00:59:00 PDT,+0.1399,+0,+7332.34,+0,NULL
2000-08-09 01:00:00 PDT,+0.1399,+0,+7334.45,+0,NULL
2000-08-09 01:01:00 PDT,+0.1399,+0,+7334.45,+0,NULL
2000-08-09 01:02:00 PDT,+0.1399,+0,+7334.45,+0,NULL
2000-08-09 01:03:00 PDT,+0.1399,+0,+7334.45,+0,NULL
2000-08-09 01:04:00 PDT,+0.1399,+0,+7334.45,+0,NULL
2000-08-09 01:05:00 PDT,+0.1399,+0,+7334.45,+0,NULL
2000-08-09 01:06:00 PDT,+0.1399,+0,+7334.45,+0,NULL
2000-08-09 01:07:00 PDT,+0.1399,+0,+7334.45,+0,NULL
2000-08-09 01:08:00 PDT,+0.1399,+0,+7334.45,+0,NULL
2000-08-09 01:09:00 PDT,+0.1399,+0,+7334.45,+0,NULL
2000-08-09 01:10:00 PDT,+0.1399,+0,+7334.45,+0,NULL
2000-08-09 01:11:00 PDT,+0.1399,+0,+7334.45,+0,NULL
2000-08-09 01:12:00 PDT,+0.1399,+0,+7334.45,+0,NULL
2000-08-09 01:13:00 PDT,+0.1399,+0,+7334.45,+0,NULL
2000-08-09 01:14:00 PDT,+0.1399,+0,+7334.45,+0,NULL
2000-08-09 01:15:00 PDT,+0.1399,+0,+7336.33,+0,NULL
2000-08-09 01:16:00 PDT,+0.1399,+0,+7336.33,+0,NULL
2000-08-09 01:17:00 PDT,+0.1399,+0,+7336.33,+0,NULL
2000-08-09 01:18:00 PDT,+0.1399,+0,+7336.33,+0,NULL
2000-08-09 01:19:00 PDT,+0.1399,+0,+7336.33,+0,NULL
2000-08-09 01:20:00 PDT,+0.1399,+0,+7336.33,+0,NULL
2000-08-09 01:21:00 PDT,+0.1399,+0,+7336.33,+0,NULL
2000-08-09 01:22:00 PDT,+0.1399,+0,+7336.33,+0,NULL
2000-08-09 01:23:00 PDT,+0.1399,+0,+7336.33,+0,NULL
2000-08-09 01:24:00 PDT,+0.1399,+0,+7336.33,+0,NULL
